Title,Authors,Publisher,Date_of_published,Short_Description,ISBN_13,Total_pages,Categories,Language,Published_listprice,Max_retailprice,Adore_current_price,Adore_original_price,Adore_rating
Alexander the Great,Martin Howard,Bloomsbury Publishing,2012-05-24,"Alexander the Great, one of the most courageous and heroic figures of the ancient world, played a key part in historical events which catapulted him to world fame.",9781408163702,129,Juvenile Nonfiction,English,583.0,291.5,95.0,150.0,5.0
Autobiography of a Yogi,"Paramahansa Yogananda, Sheba Blake",Sheba Blake Publishing,2022-01-10,"The famous opera singer Amelita Galli-Curci said about the book: &quot;Amazing, true stories of saints and masters of India, blended with priceless superphysical information-much needed to balance the Western material efficiency with Eastern ...",9783986770105,645,Biography & Autobiography,English,319.0,223.3,159.0,199.0,2.0
Be Your Own Sunshine,"James Allen,",Sristhi Publishers & Distributors,2022-02-10,"... own pace, as per our comfort? What happens when we are buried under the fear of being left behind? These ... James Allen pioneers in the field of motivational literature, as he has mastered the art of amalgamating philosophy ...",9789387022850,114,Self-Help,English,153.4,107.38,175.0,107.38,4.0
Black Holes: The Reith Lectures,Stephen Hawking,Random House,2016-05-05,Stephen Hawking. CLIFFHANGER In my previous lecture I left you on a cliffhanger.,9781473541986,82,Science,English,87.61,87.61,105.0,199.0,3.0
Deep and Silent Waters,Charlotte Lamb,Hachette UK,2013-03-28,"... silence all evening in a little bar along the Rio San Barnaba , one of the many canals bisecting the Dorsoduro , the ... water below their perfect bow shape . &#39; What&#39;s it mean ? &#39; asked Carmen , the junior assistant director , her ...",9781444770322,353,Fiction,English,350.46,245.32,169.0,599.0,3.0
How to Become Rich,JayaPrakash,Notion Press,2018-08-10,"Getting rich is not an easy task until you read this book. After this book, you will be a financial role model for others. This book not only talks about the financials of getting rich but also teaches you the way of life.",9781643248615,52,Business & Economics,English,70.8,70.8,70.8,70.8,3.2295081967213113
How to Win Friends and Influence People,Instaread,Instaread,2016-07-19,"Inside this Instaread Summary of How to Win Friends and Influence People: · Overview of the Book · Important People · Key Takeaways · Analysis of Key Takeaways About the Author With Instaread, you can get the key takeaways, summary and ...",9781683784104,27,Self-Help,English,549.0,275.0,95.0,250.0,4.0
कफन (Hindi Sahitya),"प्रेमचन्द, Premchand",Bhartiya Sahitya Inc.,2011-12-30,"Kafan story by Premchand हिंदी कथा-साहित्य की सबसे सशक्त और अविस्मरणीय कहानियों में से एक, &#39;कफन&#39;, के साथ ...",9781613010006,155,Fiction,Hindi,749.0,375.0,375.0,375.0,3.439987575067302
Letters from a Father to His Daughter,Jawaharlal Nehru,Penguin Random House India Private Limited,2022-11-07,"This book is a memoir of Dr C. Rangarajan, an Indian economist, a former Member of Parliament, and the 19th Governor of the Reserve Bank of India.",9789354925214,117,Biography & Autobiography,English,315.06,220.54,165.0,299.0,4.0
Manto Kahani Samagra,Saadat Hasan Manto,SHARDA PRAKASHAN,2020-10-15,This Book has all the stories written by Saadat Hasan Manto.,9788194711131,1983,Antiques & Collectibles,Hindi,295.0,206.5,206.5,206.5,3.2295081967213113
The Saffron Wave,Thomas Blom Hansen,Princeton University Press,1999-03-23,"In The Saffron Wave, Thomas Hansen turns our attention to recent events in the world&#39;s largest democracy, India.",9781400823055,300,Religion,English,4218.5,4218.5,4218.5,4218.5,3.5
प्रतिज्ञा (Hindi Sahitya),"प्रेमचन्द, Premchand",Bhartiya Sahitya Inc.,2012-02-24,प्रेमचंद ने हिन्दी कहानी को एक निश्चित परिप्रेक्ष्य व कलात्मक आधार दिया। उन्होंने कहानी ...,9781613011119,206,Fiction,Hindi,749.0,375.0,375.0,375.0,3.439987575067302
Reminders of You,Calliope Casimiro,Archway Publishing,2024-03-19,"The Universe has an ornery sense of humor, and we are all just her playthings to keep her entertained.",9781665757287,663,Fiction,English,392.94,275.06,275.06,275.06,3.439987575067302
The Art of War,Sun Tzu,Shambhala Publications,2002-09-17,"Compiled more than two thousand years ago by a mysterious warrior-philosopher, The Art of War is still perhaps the most prestigious and influential book of strategy in the world, as eagerly studied in Asia by modern politicians and ...",9780834821705,243,History,English,643.1,321.55,149.0,299.0,3.0
