Title,Authors,Publisher,Published Date,TextSnippet,ISBN_13,PageCount,Categories,Language,ListPrice,RetailPrice,Title_clean,Current Price,Original Price,Rating
Alexander the Great,Martin Howard,Bloomsbury Publishing,2012-05-24,"Alexander the Great, one of the most courageous and heroic figures of the ancient world, played a key part in historical events which catapulted him to world fame.",9781408163702,129,Juvenile Nonfiction,en,583.0,291.5,alexander the great,₹95.00,₹150.00,5.0
Autobiography of a Yogi,"Paramahansa Yogananda, Sheba Blake",Sheba Blake Publishing,2022-01-10,"The famous opera singer Amelita Galli-Curci said about the book: &quot;Amazing, true stories of saints and masters of India, blended with priceless superphysical information-much needed to balance the Western material efficiency with Eastern ...",9783986770105,645,Biography & Autobiography,en,319.0,223.3,autobiography of a yogi,₹159.00,₹199.00,2.0
Be Your Own Sunshine,"James Allen,",Sristhi Publishers & Distributors,2022-02-10,"... <b>own</b> pace, as per <b>our</b> comfort? What happens when we are buried under the fear <b>of</b> being left behind? These ... <b>James Allen</b> pioneers in the field <b>of</b> motivational literature, as he has mastered the art <b>of</b> amalgamating philosophy&nbsp;...",9789387022850,114,Self-Help,en,153.4,107.38,be your own sunshine,₹175.00,,4.0
Black Holes: The Reith Lectures,Stephen Hawking,Random House,2016-05-05,Stephen Hawking. CLIFFHANGER In my previous <b>lecture</b> I left you on a cliffhanger.,9781473541986,82,Science,en,87.61,87.61,black holes: the reith lectures,₹105.00,₹199.00,3.0
Deep and Silent Waters,Charlotte Lamb,Hachette UK,2013-03-28,"... <b>silence</b> all evening in a little bar along the Rio San Barnaba , one of the many canals bisecting the Dorsoduro , the ... <b>water</b> below their perfect bow shape . &#39; What&#39;s it mean ? &#39; asked Carmen , the junior assistant director , her&nbsp;...",9781444770322,353,Fiction,en,350.46,245.32,deep and silent waters,₹169.00,₹599.00,3.0
How to Become Rich,JayaPrakash,Notion Press,2018-08-10,"Getting rich is not an easy task until you read this book. After this book, you will be a financial role model for others. This book not only talks about the financials of getting rich but also teaches you the way of life.",9781643248615,52,Business & Economics,en,70.8,70.8,how to become rich,,,
How to Win Friends and Influence People,Instaread,Instaread,2016-07-19,"Inside this Instaread Summary of How to Win Friends and Influence People: · Overview of the Book · Important People · Key Takeaways · Analysis of Key Takeaways About the Author With Instaread, you can get the key takeaways, summary and ...",9781683784104,27,Self-Help,en,549.0,275.0,how to win friends and influence people,₹95.00,₹250.00,4.0
कफन (Hindi Sahitya),"प्रेमचन्द, Premchand",Bhartiya Sahitya Inc.,2011-12-30,"Kafan story by Premchand हिंदी कथा-साहित्य की सबसे सशक्त और अविस्मरणीय कहानियों में से एक, &#39;कफन&#39;, के साथ ...",9781613010006,155,Fiction,hi,749.0,375.0,कफन (hindi sahitya),,,
Letters from a Father to His Daughter,Jawaharlal Nehru,Penguin Random House India Private Limited,2022-11-07,"This book is a memoir of Dr C. Rangarajan, an Indian economist, a former Member of Parliament, and the 19th Governor of the Reserve Bank of India.",9789354925214,117,Biography & Autobiography,en,315.06,220.54,letters from a father to his daughter,₹165.00,₹299.00,4.0
Manto Kahani Samagra,Saadat Hasan Manto,SHARDA PRAKASHAN,2020-10-15,This Book has all the stories written by Saadat Hasan Manto.,9788194711131,1983,Antiques & Collectibles,hi,295.0,206.5,manto kahani samagra,,,
